"route","d_status","m_status","d_load","m_load","d_heading","m_heading","d_img","m_img","d_api","m_api","d_hyd","m_hyd","d_con","m_con","d_perr","m_perr","d_cta","m_cta","d_wa","m_wa","d_booking","m_booking"
"/travel","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","0","0","False","False"
"/travel/car-rental","200","200","True","True","False","False","10","10","0","0","0","0","0","0","0","0","2","2","0","0","False","False"
"/travel/car-rental/audi-a6-2023","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/audi-a6-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/audi-a6-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/audi-a8-2023","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/audi-a8-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/audi-a8-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/bmw-520i-2023","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/bmw-520i-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/bmw-520i-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/bmw-730li-2023","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/bmw-730li-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/bmw-730li-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/bmw-i4-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/chevrolet-spark-2023","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/chevrolet-spark-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/chevrolet-spark-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/ferrari-f8-2023","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/ferrari-f8-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/ferrari-f8-2025","200","200","True","True","False","False","2","2","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/genesis-g80-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/genesis-g80-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/honda-civic-2023","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/honda-civic-2024","200","200","True","True","False","False","2","2","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/honda-civic-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/hyundai-accent-2023","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/hyundai-accent-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/hyundai-accent-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/hyundai-elantra-2023","200","200","True","True","False","False","2","2","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/hyundai-elantra-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/hyundai-elantra-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/kia-cerato-2023","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/kia-cerato-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/kia-cerato-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/kia-picanto-2023","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/kia-picanto-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/kia-picanto-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/lambo-huracan-2023","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/lambo-huracan-2024","200","200","True","True","False","False","2","2","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/lambo-huracan-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/lexus-es350-2023","200","200","True","True","False","False","2","2","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/lexus-es350-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/lexus-es350-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/lexus-ls500-2024","200","200","True","True","False","False","2","2","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/lexus-ls500-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/mazda-3-2023","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/mazda-3-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
